session_id,run_id,time,gap_id,side,x,y,vx,vy,ns
dgap_26-05-05_10-40-58,0,8.880000,10,left,3.681617,-0.272106,-0.356112,-0.011867,simp
dgap_26-05-05_10-40-58,0,8.880000,15,right,3.900018,1.291093,-0.019394,-0.030355,simp
dgap_26-05-05_10-40-58,0,8.930000,10,left,3.584468,-0.220649,-0.385431,-0.014177,simp
dgap_26-05-05_10-40-58,0,8.930000,15,right,3.941472,1.358814,0.016363,-0.015632,simp
dgap_26-05-05_10-40-58,0,8.965000,10,left,3.550261,-0.218543,-0.414471,-0.022324,simp
dgap_26-05-05_10-40-58,0,8.965000,15,right,3.895658,1.343020,0.019563,-0.044729,simp
dgap_26-05-05_10-40-58,0,9.005000,10,left,3.458923,-0.170259,-0.453658,-0.026690,simp
dgap_26-05-05_10-40-58,0,9.005000,15,right,3.888109,1.394138,0.028327,-0.050124,simp
dgap_26-05-05_10-40-58,0,9.045000,10,left,3.451127,-0.169875,-0.485777,-0.036604,simp
dgap_26-05-05_10-40-58,0,9.045000,15,right,3.886016,1.447554,0.045281,-0.034194,simp
dgap_26-05-05_10-40-58,0,9.080000,10,left,3.376763,-0.124617,-0.523841,-0.042719,simp
dgap_26-05-05_10-40-58,0,9.080000,15,right,3.899458,1.507415,0.079564,0.001769,simp
dgap_26-05-05_10-40-58,0,9.130000,10,left,3.416550,-0.126085,-0.545382,-0.054147,simp
dgap_26-05-05_10-40-58,0,9.130000,15,right,3.840230,1.484520,0.067765,-0.013783,simp
dgap_26-05-05_10-40-58,0,9.165000,10,left,3.341834,-0.082198,-0.573640,-0.061441,simp
dgap_26-05-05_10-40-58,0,9.165000,15,right,3.837022,1.537771,0.066454,-0.008212,simp
dgap_26-05-05_10-40-58,0,9.205000,10,left,3.313077,-0.040739,-0.598933,-0.065471,simp
dgap_26-05-05_10-40-58,0,9.205000,15,right,3.847964,1.597345,0.081234,0.015144,simp
dgap_26-05-05_10-40-58,0,9.245000,10,left,3.356554,-0.041274,-0.607856,-0.074413,simp
dgap_26-05-05_10-40-58,0,9.245000,15,right,3.790090,1.573320,0.064577,-0.000830,simp
dgap_26-05-05_10-40-58,0,9.280000,10,left,3.321303,0.000000,-0.617020,-0.079603,simp
dgap_26-05-05_10-40-58,0,9.280000,15,right,3.775829,1.622110,0.052446,-0.001816,simp
dgap_26-05-05_10-40-58,0,9.330000,10,left,3.298864,0.040564,-0.623859,-0.081549,simp
dgap_26-05-05_10-40-58,0,9.330000,15,right,3.761117,1.670864,0.043577,0.007066,simp
dgap_26-05-05_10-40-58,0,9.365000,10,left,3.336602,0.041028,-0.617297,-0.088122,simp
dgap_26-05-05_10-40-58,0,9.365000,15,right,3.758092,1.725156,0.042579,0.024761,simp
dgap_26-05-05_10-40-58,0,9.400000,10,left,3.305299,0.081299,-0.611874,-0.091106,simp
dgap_26-05-05_10-40-58,0,9.400000,15,right,3.661337,1.680740,0.007140,0.006033,simp
dgap_26-05-05_10-40-58,0,9.440000,10,left,3.283651,0.121181,-0.605615,-0.091002,simp
dgap_26-05-05_10-40-58,0,9.445000,15,right,3.619163,1.715567,-0.029013,-0.006160,simp
dgap_26-05-05_10-40-58,0,9.480000,10,left,3.318973,0.122484,-0.588137,-0.095394,simp
dgap_26-05-05_10-40-58,0,9.480000,15,right,3.571115,1.746886,-0.067047,-0.014867,simp
dgap_26-05-05_10-40-58,0,9.525000,10,left,3.281017,0.161502,-0.574381,-0.096570,simp
dgap_26-05-05_10-40-58,0,9.525000,18,right,3.146900,0.708089,-0.000000,-0.000000,simp
dgap_26-05-05_10-40-58,0,9.565000,10,left,3.259741,0.200660,-0.560337,-0.094889,simp
dgap_26-05-05_10-40-58,0,9.565000,18,right,3.075729,0.731921,0.000608,-0.000004,simp
dgap_26-05-05_10-40-58,0,9.605000,10,left,3.289515,0.202492,-0.537781,-0.097188,simp
dgap_26-05-05_10-40-58,0,9.605000,18,right,3.018927,0.757743,-0.020177,0.000286,simp
dgap_26-05-05_10-40-58,0,9.640000,10,left,3.257952,0.240793,-0.518790,-0.095582,simp
dgap_26-05-05_10-40-58,0,9.640000,18,right,2.982266,0.787644,-0.057967,0.004340,simp
dgap_26-05-05_10-40-58,0,9.685000,10,left,3.289576,0.243130,-0.491227,-0.097054,simp
dgap_26-05-05_10-40-58,0,9.685000,18,right,2.903694,0.766892,-0.139253,-0.018827,simp
dgap_26-05-05_10-40-58,0,9.725000,10,left,3.249910,0.280416,-0.469668,-0.094392,simp
dgap_26-05-05_10-40-58,0,9.725000,18,right,2.885192,0.800081,-0.215007,-0.028353,simp
dgap_26-05-05_10-40-58,0,9.765000,10,left,3.278459,0.282879,-0.440695,-0.094388,simp
dgap_26-05-05_10-40-58,0,9.765000,18,right,2.840274,0.787625,-0.301190,-0.061088,simp
dgap_26-05-05_10-40-58,0,9.805000,10,left,3.232143,0.318965,-0.419694,-0.089602,simp
dgap_26-05-05_10-40-58,0,9.805000,18,right,2.850427,0.828316,-0.342323,-0.062255,simp
dgap_26-05-05_10-40-58,0,9.845000,10,left,3.234896,0.319237,-0.396733,-0.086125,simp
dgap_26-05-05_10-40-58,0,9.845000,18,right,2.831392,0.822784,-0.371952,-0.074061,simp
dgap_26-05-05_10-40-58,0,9.885000,10,left,3.221896,0.317954,-0.375252,-0.083440,simp
dgap_26-05-05_10-40-58,0,9.885000,18,right,2.820278,0.819555,-0.385786,-0.087579,simp
dgap_26-05-05_10-40-58,0,9.925000,10,left,3.191775,0.314982,-0.358426,-0.081194,simp
dgap_26-05-05_10-40-58,0,9.925000,18,right,2.813411,0.817559,-0.385472,-0.097906,simp
dgap_26-05-05_10-40-58,0,9.965000,10,left,3.145640,0.310429,-0.348925,-0.079184,simp
dgap_26-05-05_10-40-58,0,9.965000,18,right,2.809327,0.816372,-0.374510,-0.103085,simp
dgap_26-05-05_10-40-58,0,10.005000,10,left,3.085742,0.304518,-0.348536,-0.077246,simp
dgap_26-05-05_10-40-58,0,10.005000,18,right,2.807515,0.815846,-0.356138,-0.102796,simp
dgap_26-05-05_10-40-58,0,10.045000,10,left,3.073564,0.265200,-0.347266,-0.081301,simp
dgap_26-05-05_10-40-58,0,10.045000,18,right,2.807837,0.815939,-0.332892,-0.097533,simp
dgap_26-05-05_10-40-58,0,10.085000,10,left,2.972756,0.256502,-0.361921,-0.084576,simp
dgap_26-05-05_10-40-58,0,10.085000,18,right,2.810495,0.816712,-0.306424,-0.088090,simp
dgap_26-05-05_10-40-58,0,10.125000,10,left,2.880044,0.248502,-0.388957,-0.086721,simp
dgap_26-05-05_10-40-58,0,10.125000,18,right,2.817832,0.818844,-0.276617,-0.074945,simp
